ip.src,ip.dst,eth.src,eth.dst,frame.len,frame.time_epoch,relative_time
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,74,1681743794.101809,0.0
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,74,1681743794.416057,0.31424808502197266
10.0.0.3,10.0.0.1,00:00:00:00:00:03,00:00:00:00:00:01,74,1681743794.416077,0.3142678737640381
10.0.0.5,10.0.0.1,00:00:00:00:00:05,00:00:00:00:00:01,74,1681743795.152128,1.050318956375122
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,74,1681743795.984466,1.8826570510864258
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681743795.98451,1.8827009201049805
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,74,1681743795.984513,1.8827040195465088
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,148,1681743795.986053,1.8842439651489258
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681743795.986109,1.8842999935150146
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681743795.986128,1.8843190670013428
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,327,1681743795.986381,1.8845720291137695
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681743795.988074,1.8862650394439697
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,109,1681743795.988278,1.8864688873291016
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681743795.988461,1.8866519927978516
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989575,1.887765884399414
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989611,1.8878018856048584
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989625,1.8878159523010254
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989628,1.8878190517425537
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989631,1.887821912765503
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989633,1.8878240585327148
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989636,1.887826919555664
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989638,1.887829065322876
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989641,1.8878319263458252
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989644,1.8878350257873535
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989645,1.88783597946167
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989646,1.8878369331359863
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989647,1.8878378868103027
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989648,1.8878390789031982
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.98965,1.887840986251831
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989651,1.8878419399261475
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989652,1.8878428936004639
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.98973,1.88792085647583
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.98973,1.88792085647583
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989734,1.8879249095916748
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989734,1.8879249095916748
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989737,1.8879280090332031
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989737,1.8879280090332031
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989739,1.887929916381836
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2322,1681743795.989739,1.887929916381836
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2154,1681743795.989764,1.8879549503326416
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989764,1.8879549503326416
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989783,1.8879740238189697
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989818,1.8880090713500977
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989818,1.8880090713500977
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.98982,1.8880109786987305
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989821,1.8880119323730469
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989824,1.8880150318145752
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989824,1.8880150318145752
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989824,1.8880150318145752
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989826,1.888016939163208
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989826,1.888016939163208
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989847,1.888037919998169
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989847,1.888037919998169
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.98985,1.8880410194396973
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.98985,1.8880410194396973
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989853,1.8880438804626465
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989853,1.8880438804626465
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989853,1.8880438804626465
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989856,1.8880469799041748
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989856,1.8880469799041748
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989858,1.8880488872528076
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989858,1.8880488872528076
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989864,1.8880550861358643
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989865,1.8880560398101807
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989865,1.8880560398101807
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989868,1.8880589008331299
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989869,1.8880600929260254
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989871,1.8880620002746582
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989871,1.8880620002746582
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1858,1681743795.989873,1.888063907623291
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989877,1.8880679607391357
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2618,1681743795.989877,1.8880679607391357
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989877,1.8880679607391357
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989882,1.8880729675292969
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989882,1.8880729675292969
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989883,1.8880739212036133
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989887,1.888077974319458
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989887,1.888077974319458
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989889,1.8880798816680908
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989892,1.8880829811096191
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989892,1.8880829811096191
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989896,1.8880870342254639
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989896,1.8880870342254639
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989898,1.8880889415740967
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989902,1.8880929946899414
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989902,1.8880929946899414
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989903,1.8880939483642578
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,1514,1681743795.989907,1.8880980014801025
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989907,1.8880980014801025
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989907,1.8880980014801025
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2098,1681743795.989909,1.8880999088287354
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2962,1681743795.989912,1.8881030082702637
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,2641,1681743795.989912,1.8881030082702637
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,66,1681743795.991096,1.889286994934082
10.0.0.6,10.0.0.1,00:00:00:00:00:06,00:00:00:00:00:01,83,1681743795.991106,1.8892970085144043
